,inspection_id,dba_name,license_,facility_type,zip,inspection_date,latitude,longitude,year,category
3361,1343475,walla food,2278440.0,grocery store,60644.0,2013-09-24,41.88396660904719,-87.75534386759125,2013,Grocery Store
3362,1072572,western convenience store,2284766.0,grocery store,60636.0,2013-09-24,41.78044753775588,-87.68381968063304,2013,Grocery Store
3363,1343472,bethlehem food mart inc ,2120211.0,grocery store,60623.0,2013-09-24,41.85172137506997,-87.70078598465724,2013,Grocery Store
3370,1360991,west loop mart,2284138.0,grocery store,60607.0,2013-09-17,41.88568794689097,-87.65246444630944,2013,Grocery Store
3372,1072555,prestige liquors,1883995.0,grocery store,60636.0,2013-09-17,41.76449559670579,-87.68338426748386,2013,Grocery Store
3390,1235965,diala grocery,44357.0,grocery store,60640.0,2013-09-06,41.9759453108431,-87.6778086487862,2013,Grocery Store
3395,1319738,garfield super saver,2278634.0,grocery store,60615.0,2013-09-05,41.794777232849405,-87.62391935385449,2013,Grocery Store
3403,1324647,7 eleven,2232736.0,grocery store,60606.0,2013-09-03,41.88525719405359,-87.63376979601067,2013,Grocery Store
3413,1360470,walmart  5645,2153545.0,grocery store,60657.0,2013-08-23,41.93403616510409,-87.64455372891567,2013,Grocery Store
3421,1360366,g   f produce,1301839.0,grocery store,60619.0,2013-08-19,41.76426517759021,-87.62473433928172,2013,Grocery Store
3426,1319700,michaels fresh market,2043177.0,grocery store,60653.0,2013-08-15,41.80977272660802,-87.59496089093687,2013,Grocery Store
3427,1360295,stop and shop for u,2270095.0,grocery store,60610.0,2013-08-15,41.91101314874418,-87.63801771166592,2013,Grocery Store
3439,1354155,hashim corporation,27682.0,grocery store,60628.0,2013-08-08,41.71411886808991,-87.64314540818165,2013,Grocery Store
3446,1358211,cent   div petroleum  inc ,2270979.0,grocery store,60651.0,2013-08-05,41.9021910503325,-87.76550765713982,2013,Grocery Store
3455,1354006,amp food mart,2036784.0,grocery store,60612.0,2013-08-01,41.86660247749348,-87.69737609001699,2013,Grocery Store
3461,1353912,afc sushi   jewel osco  3501,2103820.0,grocery store,60618.0,2013-07-29,41.943187373182425,-87.68830202070191,2013,Grocery Store
3467,1353895,supermercado cardenas,1596877.0,grocery store,60618.0,2013-07-29,41.96121761602189,-87.71482086236585,2013,Grocery Store
3487,1353679,hollywood pantry,2240471.0,grocery store,60660.0,2013-07-16,41.98543645180304,-87.66321121187575,2013,Grocery Store
3499,1353506,petra mini mart  inc ,2042176.0,grocery store,60649.0,2013-07-08,41.751720377952616,-87.55893129286477,2013,Grocery Store
3501,1353583,adams food mart,1817376.0,grocery store,60644.0,2013-07-03,41.891033547074734,-87.75530964570335,2013,Grocery Store
3516,1146445,dollar   up group inc ,2054850.0,grocery store,60632.0,2013-06-25,41.79361538661615,-87.70370439210384,2013,Grocery Store
3520,1202820,rite price food,1198136.0,grocery store,60651.0,2013-06-24,41.90225068969279,-87.76595092376172,2013,Grocery Store
3531,1336095,chicago ave quick mart,2129746.0,grocery store,60651.0,2013-06-13,41.89495931732741,-87.76563183906008,2013,Grocery Store
3533,1336089,convenient food mart,1167373.0,grocery store,60630.0,2013-06-13,41.98228977576567,-87.77396048836235,2013,Grocery Store
3538,1335991,71st meat market,1381216.0,grocery store,60619.0,2013-06-10,41.7656797434309,-87.61178040866801,2013,Grocery Store
3539,1324505,walmart market  5647,2104003.0,grocery store,60661.0,2013-06-07,41.88065823696528,-87.64254672480664,2013,Grocery Store
3564,1335742,midtown market,2229406.0,grocery store,60651.0,2013-05-24,41.90258387387031,-87.72361924848285,2013,Grocery Store
3566,1072433,marathon gas   food,1893045.0,grocery store,60636.0,2013-05-23,41.786978677373725,-87.6558418005699,2013,Grocery Store
3569,1151314,la vencedora,2050068.0,grocery store,60629.0,2013-05-22,41.7787266404954,-87.72618188418672,2013,Grocery Store
3572,1335662,pete s food and liquor,2245242.0,grocery store,60651.0,2013-05-21,41.894805732844496,-87.75759406086019,2013,Grocery Store
3577,1335595,chicago o hare marriott hotel,1970455.0,grocery store,60631.0,2013-05-16,41.9867885856625,-87.84012417346162,2013,Grocery Store
3582,1327017,north ave discount store,1959898.0,grocery store,60639.0,2013-04-17,41.90949904495798,-87.76471097912471,2013,Grocery Store
3613,1296342,k   g food mart inc,2202445.0,grocery store,60649.0,2013-05-02,41.76592822544687,-87.56729718983736,2013,Grocery Store
3614,1072395,jay food,2078776.0,grocery store,60620.0,2013-05-02,41.75026194676381,-87.66225587318787,2013,Grocery Store
3619,1296334,pm wine   spirits inc,2246309.0,grocery store,60617.0,2013-04-29,41.72255919671874,-87.57692645087114,2013,Grocery Store
3631,1324420,super nut   candy,2114624.0,grocery store,60661.0,2013-04-23,41.884187507127805,-87.64111966683218,2013,Grocery Store
3634,1327125,las americas,2232386.0,grocery store,60651.0,2013-04-23,41.90246838200645,-87.7264432559915,2013,Grocery Store
