,inspection_id,dba_name,license_,facility_type,inspection_date,latitude,longitude,year,category
3370,1324621,BOSTON BLACKIES OF RIVERSIDE,1124342.0,restaurant,2013-08-16,41.8799233059124,-87.63880253891776,2013,Restaurant
3371,1365241,TRADER VIC'S,1873418.0,restaurant,2013-08-16,41.90146341490292,-87.62848137148605,2013,Restaurant
3372,1324619,Skadden Arps,1975690.0,restaurant,2013-08-16,41.88461561705127,-87.63668235780031,2013,Restaurant
3373,1329457,EURO CAPPUCCINO INC,84508.0,restaurant,2013-08-15,41.93840192256397,-87.77129393115776,2013,Restaurant
3375,1345456,GRANDMA GEBHARDS,9616.0,restaurant,2013-08-15,41.883100479248256,-87.6301472292721,2013,Restaurant
3376,1151548,EFEBINA'S CAFE,1998619.0,restaurant,2013-08-15,41.85870915813739,-87.6606040076504,2013,Restaurant
3377,1360250,SHUI WAH CHINESE CUISINE,75453.0,restaurant,2013-08-14,41.8532702235994,-87.63424788717859,2013,Restaurant
3379,1139076,"14 W. HUBBARD, LLC",2109816.0,restaurant,2013-08-13,41.89016640039207,-87.62854579369515,2013,Restaurant
3380,1345447,JASON'S DELI,2129572.0,restaurant,2013-08-13,41.88563517079778,-87.62934689882326,2013,Restaurant
3384,1296502,L & G FAMILY RESTAURANT INC,60020.0,restaurant,2013-08-06,41.70630822902978,-87.5594979563291,2013,Restaurant
3385,1151507,SBARRO'S PIZZERIA,1903424.0,restaurant,2013-08-06,41.75466012439374,-87.74138475860521,2013,Restaurant
3386,1354083,"INTELLIGENTSIA COFFEE & TEA, INC.",44721.0,restaurant,2013-08-06,41.938435180550734,-87.64419841711218,2013,Restaurant
3387,1354078,HERMANS HIDEAWAY,2032081.0,restaurant,2013-08-06,41.94142629278533,-87.69079930080058,2013,Restaurant
3388,1343394,LUPES TACOS BUFFET,2172465.0,restaurant,2013-08-06,41.85186753761836,-87.70593359696741,2013,Restaurant
3391,1354059,YSABEL'S FILIPINO CUISINE,2013419.0,restaurant,2013-08-05,41.953485015058135,-87.750248227467,2013,Restaurant
